Classification,3 Musketeers,Salt Water Taffy,Butterfinger,Dubble Bubble Gum,Hershey Kisses,Jolly Ranchers Candy,Lemonheads,M&M's,Reese's Peanut Butter Cups,Skittles,Sour Patch Kids,Swedish Fish,Twix,Almond Joy,Blow Pops,Candy Corn,Hershey's Mini Chocolate Candy Bars,Hot Tamales,Kit Kat,Life Savers,Milky Way,Snickers,Starburst,Tootsie Pops,Hawaiian Host,Pref Chocolate,Pref Fruit-Flavored,Pref Caramel,Pref Nuts,Pref Crisped rice/wafer,Pref Coconut
Grad,1,1,1,10,3,10,8,5,10,10,2,1,10,1,10,1,3,1,10,10,1,1,10,1,1,Yes,Yes,No,No,Yes,No
Ugrad,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,Yes,No,Yes,No,No,No
Grad,4,3,3,5,10,4,3,8,7,9,7,6,8,3,4,3,10,3,10,3,7,8,3,9,3,Yes,Yes,Yes,No,Yes,Yes
Ugrad,4,2,9,7,6,9,9,8,9,8,8,7,5,1,8,7,4,6,7,6,4,5,6,9,1,No,Yes,No,No,No,No
Ugrad,6,1,5,3,8,7,5,8,8,5,7,7,8,9,2,1,10,4,10,6,6,8,7,7,1,Yes,Yes,Yes,Yes,Yes,Yes
Grad,1,1,1,1,10,1,1,7,1,6,1,1,7,5,1,1,10,1,10,1,10,5,1,1,1,Yes,No,No,No,No,No
Grad,1,1,1,4,7,1,1,5,7,5,1,1,6,8,1,1,6,1,7,1,7,7,4,1,1,No,Yes,No,Yes,Yes,Yes
